name,age,grade
Mary Bell,24,A
Haley Bryant,18,C
Teresa Powell,21,B
Bryan Coleman,21,A
Jessica Kent,20,B
Darin Dawson,24,D
Debra Horn,25,B
Taylor Lowe,25,A
Brian Parker,22,B
Adam Jones,25,A
Ryan Moore,19,D
Amanda Wells,21,A
Rebecca Burton,23,B
Kimberly Green,18,A
John Jones,24,C
Tami Bowen,18,A
Thomas Miller,18,B
Felicia Gonzalez,23,C
Christina Morton,21,D
Adam Simon,19,A
Michael Jennings,21,D
Deborah Cook,18,B
Jennifer Hernandez,25,B
Dean Diaz,21,C
Mary Mayo,20,D
Jason Bennett,20,D
Susan Contreras,24,B
Paula Reid,19,A
Jeffrey Henderson,24,A
Steven Frank,25,A
Ronnie Torres,18,A
Jonathan Buchanan,18,D
Carl Jensen,19,C
Jon Higgins,19,A
Michael Thompson,20,C
Charles Carter,18,D
William Salazar,19,B
Dorothy White,22,D
James Ramos,19,B
Joseph Camacho,23,B
Brad Tucker,19,D
Scott Hudson,23,C
Tracy Clark,22,A
Eric Knight,20,D
Laurie Gregory,20,D
Vernon Brooks,22,A
Nicholas Campbell,24,D
Sherry Hart,22,B
Dr. John Schmidt,25,A
Larry Norton,19,A
Ashley Frederick,25,B
Angel Carrillo,24,A
Dr. Kevin Olson,25,A
Alicia Thompson,21,B
Dr. William Dixon,25,D
Michael Bradford,23,D
Lori Graham,19,C
Kimberly Donovan,20,B
Bruce Morrison,18,C
Nathan Downs,19,A
Lauren Webb,18,D
Mrs. Robin Martinez MD,19,D
Michael Huynh,18,D
Nicole Taylor,19,D
Stephen Coleman,20,A
Shaun Smith,20,C
Barry Diaz,21,C
Kaitlyn Cole,19,B
Cody Day,25,C
John Stein,19,B
Amanda Chen,23,B
Cody Acevedo,22,C
Aaron Conrad,21,A
Kirk Hernandez,24,B
Jason King,25,D
Greg Hartman,23,A
Kristine Bell,19,C
Kathryn Wilkins,18,C
Jacob Lamb,19,A
Rachael Humphrey,19,A
Pamela Woodward,18,A
Patricia Krueger,25,D
Jason Ford,25,A
Victor Anderson,25,A
Jillian Ross,19,A
Gary Andrews,23,C
John Jacobs,24,A
Joseph Brooks,23,B
Holly Baker,22,A
Michelle Flores,20,D
Yolanda Green,22,B
Martin Turner,25,C
Barbara Cabrera,18,B
Joshua Atkins,21,A
Gina Grant,19,A
James Bell,20,D
Erin Richardson,22,D
Aaron Molina,21,B
Kathy Green,19,A
Sara Green,24,B
Paula Howard,21,A
Dr. Catherine Bailey,25,D
Ricardo Jackson,19,C
Caleb Burnett,20,B
Diana Garza,22,B
Janet Clayton,21,A
Patricia Johnson,23,B
Nicole Shaw,24,C
Rhonda Sanchez,20,A
Ralph Briggs,23,C
David Shaw,19,B
Frederick Zimmerman,21,A
Douglas Smith,23,D
Bob Moore,20,B
Raymond Golden,25,A
Eric Hamilton,23,D
Brittany Green,24,A
Juan Guzman,23,A
Elizabeth Patel,25,B
Sarah Ellis,20,A
Taylor Roach,25,A
Aaron Lambert,25,D
Paul Diaz,22,D
Seth Webb,22,D
Ronald Morris,25,B
Vanessa Carter,19,D
Mark Mckay,24,A
Laura Newton,21,B
Valerie Edwards,22,A
Denise Montoya,24,C
Sherry Stone,18,B
Michael Lowe,25,A
Sabrina Kelley,23,A
Jamie Griffith,19,B
Christian Singleton,25,D
Allison Brooks,18,B
Rhonda Shields,19,B
Douglas Stokes,24,B
Tyler Miller,22,A
Peter Parks,22,B
Amanda Mckinney,21,D
James Walker,18,C
Rebecca Smith,23,C
Ashley Wyatt,21,A
Bradley Garrett,20,C
Gregory Mclean,19,D
Lance Johnson,18,A
Ryan West,25,D
Christina Olson,23,B
Amber Wade,18,D
Tina Reynolds,20,D
Robert Snyder,22,A
Shawn Miller,21,D
Mary Duke,24,D
Samantha Soto,18,D
Robert Holmes,23,C
Gregory Smith,18,C
Joseph Shelton,23,D
Audrey Powell,18,A
Alison Dixon,21,B
Evelyn Rodriguez,23,A
Erin Murphy,23,A
Brenda Smith,21,A
Angela Lewis,22,A
Ashley Bell,22,C
Larry Mosley,20,D
Tammy Sanders,20,D
Michael Hunter,24,C
Wendy Rivera,18,B
Jennifer Jones,25,A
Gary Gonzales,24,D
Mark Cantu,24,B
Guy Adams,18,B
Kimberly Nelson,19,D
Yolanda Ramsey,18,A
Melissa Shaffer,18,D
Lori Bennett,23,B
Michelle Nguyen,19,C
Ian Garcia,25,B
Bruce Bell,20,A
Margaret Rose,18,C
Amanda Johnson,25,D
Kathleen Fernandez,20,A
Theresa Rose,23,D
John Hartman,21,B
Raymond Conley,18,C
Joseph Hobbs,20,B
Jordan Clark,21,B
Joseph Hart,19,C
Julie Nichols,22,B
Joseph Hughes Jr.,20,B
Deborah Martinez,18,B
Jennifer Bolton,19,B
Monique Jackson,20,D
Cheryl Ryan,18,D
Gregory Padilla,25,B
Aaron Parsons,25,A
Taylor Lang,20,A
Lindsay Rios,19,B
Richard Leonard,18,C
Margaret Romero,24,C
Brianna Mitchell,23,D
Aimee Martin,20,C
Craig Pierce,23,A
Nicholas Lee,25,C
Matthew Schmitt,20,B
Tracy Kim,23,A
Christina Rodriguez,24,B
Troy Torres,21,B
Shannon Scott DDS,21,A
Anthony Dean,24,C
Peter Ball,19,C
Travis Ingram,25,B
Jennifer Brown,20,D
Andrea Morris,20,B
William Mcbride,18,D
Thomas Carpenter,25,C
Clarence Bennett,25,B
Charles Evans,22,C
Calvin Collins,21,C
David Arnold,20,D
Stephanie Cowan,18,A
Daniel Carr,24,A
Aimee Johnson,22,B
Brenda Bernard,21,B
Timothy Saunders,20,D
Wayne Marks,22,D
Savannah Cooper,23,B
Jonathan Scott,22,C
Mary Thomas,18,C
Michael Simpson,20,D
Robert Wilcox,23,A
Noah Adams,20,D
Angela Shaw MD,19,C
Nathan King,21,B
Mariah Lopez DDS,19,A
Elizabeth Ortega,22,B
Morgan Myers,21,D
William Foster,24,D
Edwin Clark PhD,21,A
Cynthia Boone,18,C
Sarah Smith,21,C
Eric Whitehead,25,D
Patrick Powell,20,C
Jessica Foster,24,D
Adrian Taylor,20,D
Taylor Burgess,22,D
Lisa Lee,21,C
Donald Schmidt,19,A
April Kent,24,A
Michael Erickson,19,A
Angela Walsh,22,C
Katherine Weaver,23,A
Natasha Callahan,23,B
Chad Fernandez,20,C
Kimberly Shaw,25,C
Joshua Bright,23,A
Brian Ortiz,20,B
Mary Williams,25,B
Thomas Johnson,24,A
Seth Anderson,23,C
Eric Wright,21,C
Brian Reese,23,D
Natalie Gutierrez,19,A
Andrew Todd,19,A
Jacob Chavez,22,D
Rebecca Henry,18,C
Gregory Mitchell,25,B
Bridget Smith,25,C
Frank Patrick,18,D
Rachel Johnson,23,D
Ronald Kidd,23,A
Vanessa Davies,20,B
Jessica Carey,25,D
Barbara Moore,18,B
Charles Wilson,25,A
Joshua Patel,23,D
Andrea Russell,22,D
Stephanie Lee,22,B
Alyssa Campbell,22,D
David Davies,19,A
Rachel Fisher,23,B
Arthur Chambers,24,C
Stephanie Hays,24,B
Willie Marsh,21,C
Rebecca Nichols,22,C
Miguel Hayes,24,A
Kimberly Williams,23,D
Jennifer Graham,24,A
Timothy Perez,22,C
Brian Sutton,19,B
Marie Wiggins,18,C
Alexandra Klein,21,D
Alexandra Garner,21,D
Linda Richardson,22,D
Michael Delgado,18,D
Kathleen Bishop,19,B
Alan Frank,23,C
Roy Baker,22,A
Kelly Wood,24,D
Stephanie Lin,22,A
Mario Stephenson,21,B
Steven Barron,19,A
Yolanda Crawford,18,A
David Downs,19,C
Danielle Hurst,23,B
Deborah Dunn,21,A
Tiffany Wright,20,C
Allison Duncan,18,D
Jason Sharp,20,C
William Booth,22,A
Mark Wallace,19,C
Mr. Lee Smith,20,A
Brent Williams,22,D
Dawn Allen,19,C
Scott Morse,23,C
Adam Sanchez,19,A
Kathleen Newton,20,B
Laura Cantrell,21,B
Brianna Carter,22,B
Vincent Gibson,23,D
Christian Smith,18,C
Heather Kerr,21,D
Charles Hatfield,23,A
Tina Owens,22,A
Brandi Hansen,22,A
Gary Davis,24,B
Stephanie Chung,20,A
April Richardson,22,B
John Watkins,20,A
Pamela Lucas,22,C
Vanessa Welch,20,A
Rita Reed,20,B
Jeff Jimenez,19,A
Rose Griffith,21,D
David Hanson,22,D
Elizabeth Johns MD,24,C
Troy Owen,20,C
Connie Knight,23,C
Richard Le,21,A
Mrs. Diana Gillespie,21,A
Christopher Herrera,25,B
Jessica Allen,25,A
Stephanie Delgado,24,A
Michael Brandt,18,B
Greg Wong,18,A
William Buchanan,24,B
Jerry Douglas,20,D
Jason Johns,24,A
Eric Lang,20,C
Casey Martinez,24,C
John Butler,24,D
Yesenia Mckee,19,D
Jamie Willis,22,D
Mr. Brandon Roberts,23,A
Michael Johnson Jr.,19,A
Michael Gordon,21,B
Jacob Hawkins,22,B
Keith Hess,20,B
Martin Kramer,25,C
Gina Odom,20,D
Danielle Giles,22,D
Jose Walker,22,A
Paige Collins,20,D
Christopher Maxwell,21,D
Kelsey Pena,21,C
Gabrielle Ortiz,20,D
Sheena House,24,B
Patrick Mcgee,25,D
Sydney Phelps,18,C
Eric Bass,23,D
Joshua Holland,19,A
Nicholas Howard,19,A
James Monroe,18,A
Amanda Anderson,25,C
Kathy Coffey,25,C
Jillian Campbell,21,A
Kevin Young,25,A
James Flores,22,C
Christine Carter,25,B
Sharon Hall,21,C
Vincent Thompson,18,C
Diana Nelson,23,A
Carolyn Baker,20,D
Tracy Davis,23,B
Shawn Cortez II,21,A
Michael Cisneros,21,D
Jose Contreras,21,B
Jamie Johnson,18,B
Hannah Horn,23,D
Brenda Lyons,19,B
Melissa Gonzales,25,C
Paula Fischer,20,C
Gloria Hill,19,A
Julie Chambers,23,C
Tanner Lyons,23,C
David Nguyen,22,B
Brooke Sanford,23,A
Rhonda Wood,21,D
Miguel Salazar,23,A
Gregory Nelson,18,D
Matthew Calderon,19,C
Erin Lee,24,B
Nicholas Thompson,25,D
Richard Wood,20,A
Karen Frye,20,C
Joel Hughes,25,C
Alexis Kramer,23,B
Jason Price,22,B
Samantha Wilkinson,23,C
Donald Aguilar,21,D
Kelly Bowman MD,24,A
Tamara Hogan,21,D
Andres Burke,19,B
Jessica Gill,20,D
Latasha Ellis,21,D
Vicki Roberts,20,C
Kyle Barker,21,D
Ellen Doyle,19,A
Diana Olson,22,C
Melanie Matthews,21,D
Matthew Flores,24,D
Christopher Williams,19,C
Sandy Gardner,18,C
Donald Mitchell,22,B
Dawn Adams,25,C
Erin Perez,18,A
Brian Taylor,21,C
Brian Edwards,24,D
Thomas Eaton,18,B
Stacey Garcia,20,A
Jake Turner,18,D
David Nguyen,23,D
Mr. Steven Hunter,24,C
Kristy Gardner,19,D
Joseph Cook,18,D
Mrs. Shelby Saunders,21,C
Kirk Barry,21,D
Lauren Ortega,21,C
Daniel Orozco,23,A
William Moran,22,C
Chad Everett II,22,A
Jason Young,21,A
Tonya Holmes,18,B
Amy Leonard,21,B
Lauren Hood,20,A
Leslie Bolton,25,D
Alexis Arellano,25,D
Christine Jenkins,23,A
Jessica Johnson,21,D
Robin Jones,25,A
Caitlin Reyes,25,C
Michael Pham,18,B
James Stout,18,A
Margaret Gibbs,23,C
David Russell,19,D
Benjamin Bailey,24,B
Barry Williams,25,B
Colleen Reid,19,C
Douglas Harrell,25,A
George Stewart,20,A
Tiffany Houston,18,A
Gregory Lane,23,D
Caitlin Owens,25,C
Jeremy Gibson,19,D
Matthew Brown,21,A
Willie Scott,24,D
Clayton Gutierrez,19,C
Amber Rose,19,A
Adam Ford,23,A
Justin Evans,22,D
Thomas Brown,19,A
Dana Ray,20,D
Robin Bruce,23,A
Paul Massey,20,B
David Valdez,21,C
Ariel Garcia,20,B
Monica Torres,24,C
Cory Brewer,18,B
Carlos Hogan,19,D
Diane Davis,23,D
Kyle Sanchez,18,C
Shane Norton,23,C
John Christian,25,C
Sherry Gilbert,18,C
Mary Webb,22,C
Jon Rodgers,20,C
Lauren Henry,18,D
Ryan Ball,24,B
Gregory Hayden,22,C
Susan Fields,22,C
Michele Martin,22,A
Karen Lopez,25,B
Richard Patterson,21,A
Anthony Lane,21,D
Lauren Kim,23,D
Kevin Moran,19,B
James Wolfe,19,D
Alicia Rose,24,C
Evelyn Hardy,22,A
Matthew Mays,22,C
Rhonda Adams,19,D
Jeffrey King,23,A
Miranda Benson,25,A
Erin Page,21,B
Stephanie Sherman,18,D
Nancy Johnson,20,B
Ashley Allen,19,C
Jonathan Gomez,21,C
Kristen Miles,23,C
Vanessa Norton,21,C
Melissa Hudson,19,A
Christopher Blackwell,24,A
Taylor Lee,22,C
Joseph Baker,20,D
Mr. Jack Smith DDS,19,D
Amy Rice,22,C
Nicole Chaney,22,B
Samuel Young,21,D
Melissa French,25,A
Kenneth Perez,23,C
Alexis Stuart,25,A
Cindy Ruiz,18,B
Denise Roberts,21,B
Michael Martinez,18,C
Jessica Carter,24,D
Ashlee Taylor,25,D
Peggy Martinez,24,C
Kimberly Trevino,25,B
Sherry Schmidt,21,C
Deborah Pena,22,B
Sarah Chung,24,D
Wendy Dixon,20,B
Yvonne Hughes,21,D
Adrian Walton,25,D
Michelle Henderson,23,B
Kimberly Lindsey,25,B
Robin Rich,22,A
Rebecca Roberts,20,A
Christine Rogers,19,B
Sabrina Ibarra,22,C
Albert Moore,21,A
Robert Ortiz,18,D
Miguel Kirk,22,B
Susan Ewing,21,C
Sara Scott,20,A
Lori Oliver,25,C
Cynthia Whitaker,18,D
Kimberly Mendoza,18,B
Michele Weaver,23,A
Nathaniel Miller,20,D
Taylor Schmidt,22,D
Cindy Weaver,22,B
Trevor Anthony,18,B
Brittany Davis,20,C
Thomas Vargas,18,D
Hailey Watkins,21,B
Matthew Austin,21,A
Jennifer Fitzpatrick,21,B
Melissa Mendoza,21,C
Jeff Daniels,21,A
Samantha Kaiser,18,D
Elizabeth Newman,18,B
Christine Obrien,21,C
Alicia Sims,23,D
Troy Mathis,20,C
James Bryant,21,C
Thomas Thompson,20,B
Jonathan Perkins,20,A
John Willis,24,B
Russell Stevens,21,D
Sarah Mckee,25,B
Zachary Duncan,25,D
Anita Huff,25,B
Brandon Montgomery,19,C
Sarah Lewis,20,C
Kevin Patterson,25,B
Brent Ferguson,18,B
Stephanie Wright,19,D
Brenda Willis,22,D
Emily Kelley,18,C
Gary Green,21,C
Karen Caldwell,19,C
Debra Daniels,21,B
Danielle Rodriguez,18,D
Katherine Nguyen,22,B
Mr. Patrick Phillips MD,20,C
Allen Nelson,24,C
Theresa Miller,22,C
William Norton,24,D
Martin Payne,19,D
Audrey Brown,24,A
Sara Nguyen,23,D
Ellen Johnson,23,B
Michael Smith,21,C
Matthew Peck Jr.,24,D
Karen Sanchez,20,D
David Bell,24,D
Dr. Kyle Sullivan,23,A
Gina Watson PhD,21,C
Craig Beck,25,D
Taylor Yang,21,B
Jason Conway,21,A
Jerry Garcia,19,C
Richard Massey,19,C
Kristin Phillips,21,D
Desiree Castillo,18,B
Lisa Ortiz,21,A
Jamie Serrano,20,D
Debbie Banks,22,B
Robert Caldwell,20,A
Antonio Kim,22,D
Adam Chan,23,D
Allison Morrow,22,B
Robert Burns,20,D
Edward Short,24,D
Dorothy Graves,22,C
Christina Cortez,18,B
Carol Rogers,23,B
Janet Martin,24,D
Larry Miller,24,A
Alison Stokes,18,C
Denise Greene,24,A
Mario Wright,19,B
David Smith,23,D
Mark Mathis,25,A
Autumn Watts,18,A
Laura Spencer,21,B
Vincent Elliott,19,B
Jason Rivera,22,A
Robert Clark,19,D
Heather Perez,20,B
Amanda Jordan,25,A
Richard Caldwell,24,C
Sarah Huber,22,B
Scott Love,20,C
Margaret Stephens,18,A
Sarah Perkins,19,A
Dr. Judith Rose,18,C
Casey Myers,24,B
Lisa Hicks,24,B
Dorothy Martin,22,B
Matthew Sexton,20,C
Alan Boone,25,A
Matthew Weaver,23,C
Sarah Benitez,19,B
